0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
7,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,112,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,0,0,3,11,0,2,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,1,0,0,1,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,15,2,1,1,0,30,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,10,1,0,2,0,15,0,1,6,0,0,0,0,0
0,1,1,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,11,0,0,2,0,11,0,0,0,0,0,0,0,0
0,0,2,0,1,0,0,0,0,0,5,0,11,0,0,0,4,2,1,0,0,0
0,0,0,1,0,0,0,0,11,0,1,1,0,6,0,4,1,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,0,3,5,1,0,2,0,0,0,29,0,0,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
