0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,84,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,5,54,1,0,0,0,0,2,0,0,0,0,1,0,0,0
1,1,0,2,12,1,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,5,7,0,0,0,0,0,0,0,0,2,0,0,0
0,1,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0
2,0,0,1,0,1,0,6,1,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,1,4,18,1,47,0,0,0,7,1,0,0
0,0,0,0,0,0,0,0,0,11,0,1,0,0,1,0,1,0
0,0,0,0,0,1,0,0,23,0,18,0,0,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,1,0,1,0,0,0,0,4,0,0,14,1,0,0,0
0,0,0,2,0,4,0,1,11,1,0,1,0,1,36,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,1
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
