0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,102,1,0,0,0,0,14,0,4,0,0,0,1,0,0,0
1,2,2,14,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,4,9,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,1,0,2,2,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,1,4,18,1,1,0,46,0,0,7,0,0,0
0,0,2,0,0,0,0,0,15,0,0,0,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,8,0,1,0,0,1,0,0,1
0,0,20,1,1,0,0,0,5,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,2,23,0,1,0,18,0,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,0,3,0,13,2,0,0,0
0,0,2,0,3,0,1,11,2,1,0,0,0,3,36,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
