Método,Tamaño Trayectoria,Epsilon,Distancia Media (m),Distancia Máx (m),Desv. Estándar (m),Error Longitud (m),Error Dirección (rad),Hausdorff (m),Tiempo (s),Run
Laplace,908,0.00822,241.9764817434619,1034.0869462894366,170.7796918618549,307424.35866066685,1.9229779469226806,0.008343568651075339,0.0320127010345459,0
Laplace,908,0.00822,249.7969297186148,1332.7055576626385,179.41484868914895,323204.0545562215,1.902441821695584,0.010847457573670618,0.0449979305267334,1
Laplace,908,0.00822,242.44632409018968,1230.8559058603796,170.49983221631183,307827.85198079,1.8045727565914145,0.008916694035922103,0.022526025772094727,2
Laplace,908,0.00822,240.45623676540458,930.9873027538387,166.3415242687548,309166.7720086439,1.9013132901883587,0.009223255546903945,0.017998695373535156,3
Laplace,908,0.00822,238.95642979776767,916.8095861453426,163.74018931882978,302334.0923798154,1.9041047795219008,0.007319819553293974,0.019018173217773438,4
Laplace,908,0.00822,239.02208742060935,1187.8078599093576,178.72726987649318,316842.8325548395,1.9145948841549791,0.010628712630739067,0.0189969539642334,5
Laplace,908,0.00822,247.144499907664,1043.1109066642173,169.7578244123065,318012.43914040696,1.8315042410939812,0.010014233725280495,0.021075963973999023,6
Laplace,908,0.00822,239.3808496563245,1131.4114578934143,167.75727982040718,307833.9591382196,1.8390096337769886,0.00822319296493167,0.021010398864746094,7
Laplace,908,0.00822,234.96981060968503,1255.7753712979259,161.91955216370073,289476.9157090138,1.8825683705628071,0.010045692333481447,0.016993045806884766,8
Laplace,908,0.00822,243.61381956931737,1161.959287463656,165.4042554624229,305971.9193688551,1.8708298303184958,0.010201042836957169,0.022054433822631836,9
Laplace,908,0.01264,157.3612956025811,672.4834738420249,111.060895546607,196290.00367051942,1.8920649637193694,0.005897464959541932,0.019551753997802734,0
Laplace,908,0.01264,162.44705516194486,866.6788338036476,116.67640872570588,206573.21449231147,1.8776019516043116,0.006899660045080499,0.027567386627197266,1
Laplace,908,0.01264,157.66682278534225,800.4453659196489,110.87881270334087,196700.03172647147,1.7816919017663608,0.005275229747727938,0.019155263900756836,2
Laplace,908,0.01264,156.3726499057792,605.4357817015436,108.17465079271045,197591.6351886126,1.8796911220241355,0.005775594666673203,0.018969058990478516,3
Laplace,908,0.01264,155.39729468641949,596.2117182099814,106.48292950993107,192837.70930117415,1.890462769778454,0.004565466538431165,0.018157243728637695,4
Laplace,908,0.01264,155.44001315638735,772.4521199506839,116.22932784631612,202422.19187059213,1.8834789702685582,0.006895293077004441,0.01991415023803711,5
Laplace,908,0.01264,160.72212840407798,678.3521828126803,110.3962962962944,203357.589218972,1.809736176766448,0.0063777628182838005,0.019100189208984375,6
Laplace,908,0.01264,155.67333557030074,735.7821317421557,109.09539659626864,196791.3385988064,1.8138254688042719,0.005177463386958655,0.02300262451171875,7
Laplace,908,0.01264,152.80472241580085,816.6494516188196,105.29890498977926,184775.78456173738,1.851903288610921,0.00597329082166454,0.01761794090270996,8
Laplace,908,0.01264,158.4260995517966,755.6423614162204,107.5651608355729,195501.61392314802,1.8339521980016313,0.005963317409941565,0.018001794815063477,9
Laplace,908,0.01706,116.59125573727336,498.25260140431146,82.28663740404129,142852.9498799095,1.8572611859939625,0.004514287118635159,0.019907474517822266,0
Laplace,908,0.01706,120.35936602723064,642.1343022191724,86.44722660161794,150455.48851922856,1.8492310115139656,0.005003757007375873,0.03055739402770996,1
Laplace,908,0.01706,116.81761844017933,593.0613409061309,82.15169907337635,143294.9237501161,1.7659618547152893,0.0035382136492237274,0.024013042449951172,2
Laplace,908,0.01706,115.85875196735839,448.5758933273093,80.14816586115172,143953.97650756795,1.8498260521321015,0.004154992005313114,0.0255887508392334,3
Laplace,908,0.01706,115.13609505483264,441.7402018542431,78.89473433107753,140248.5423579015,1.879000111274525,0.003248798178841405,0.029004812240600586,4
Laplace,908,0.01706,115.16775300954232,572.3213148861198,86.11600039928702,147380.40984104344,1.8673916629247804,0.005613814133558299,0.023541688919067383,5
Laplace,908,0.01706,119.08134006220993,502.6009121262928,81.79420409131895,148211.36567417454,1.781003260783545,0.004625855608305944,0.027987003326416016,6
Laplace,908,0.01706,115.34062974441093,545.153962415849,80.83037993447216,143374.31544666408,1.794717840249755,0.0038187489157981472,0.024416446685791016,7
Laplace,908,0.01706,113.21521794450231,605.0666630170746,78.01746127443776,134426.3537286016,1.831152104535176,0.004016265594237049,0.01802992820739746,8
Laplace,908,0.01706,117.38019012713646,559.866720070135,79.69659716237784,142373.33155121352,1.8076323948905286,0.003924179240970003,0.017978668212890625,9
Laplace,908,0.02148,92.59994647161552,395.72571518912883,65.35429325477959,111486.26153332274,1.8399266425284215,0.0035593285870978925,0.020222902297973633,0
Laplace,908,0.02148,95.5926810353178,510.00026744101376,68.65873440035598,117533.47843802588,1.8274802701576158,0.003893405682826939,0.023056983947753906,1
Laplace,908,0.02148,92.77972671011457,471.0253603476204,65.2471072968983,111946.10665726232,1.740976287283818,0.0025348498095002104,0.021177291870117188,2
Laplace,908,0.02148,92.01817116615302,356.27107340210654,63.655855786696065,112450.36803927898,1.8143004052830003,0.003216351866959192,0.02198171615600586,3
Laplace,908,0.02148,91.44421638622211,350.8413037755885,62.66034132200666,109389.57128327784,1.85633568270324,0.0029379649184112628,0.018096923828125,4
Laplace,908,0.02148,91.46936337092068,454.5533358671918,68.39567604577071,115053.3842878419,1.8410000836620806,0.00487637081611399,0.021518230438232422,5
Laplace,908,0.02148,94.5776367315187,399.17930834716213,64.96317897985226,115845.92825844718,1.7565735243042324,0.003595149243826053,0.022992610931396484,6
Laplace,908,0.02148,91.60666901440939,432.97720686648125,64.19769820674341,112001.83050248584,1.7738649535811857,0.0030366596851379183,0.021155357360839844,7
Laplace,908,0.02148,89.9186021904401,480.56007116791204,61.96358149932706,104912.21842476653,1.8116410550212807,0.0028683310616836525,0.022679805755615234,8
Laplace,908,0.02148,93.22654231958896,444.66155696022105,63.29721288284864,111174.6636307884,1.7824591005697767,0.002727332665994209,0.019001007080078125,9
Laplace,908,0.0259,76.7971763787636,328.1925749776943,54.20117146584429,90881.95837853031,1.8212584139356167,0.0029552887763924815,0.020020723342895508,0
Laplace,908,0.0259,79.27918113554765,422.9653341289845,56.94168217024926,95908.39174565248,1.809648558968671,0.0031667066750316612,0.02924060821533203,1
Laplace,908,0.0259,76.94627424008839,390.64183772298765,54.11226968077217,91353.84212514349,1.7181899250274997,0.0020786992152870723,0.02293229103088379,2
Laplace,908,0.0259,76.31468424599207,295.47109205758227,52.79258031605706,91743.49959388694,1.7907034388043133,0.0025599090345491886,0.02700066566467285,3
Laplace,908,0.0259,75.83867795268112,290.96757704236023,51.966953969853556,89118.4365194408,1.8295128462927184,0.00249833860859893,0.024340152740478516,4
